Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Alfresco,Banani,Restaurant,4.2,2513,2,"84, Sky Lark 11 level 9, plot no Rd No. 11"
BAO,Gulshan,Continental restaurant,4.2,805,2,"House 1/A 1st floor, Unit-2, রোড নং # ২৩"
Royal Canton,Banani,Restaurant,4.3,7,1,"Flat 4A, Plot 25 Rd No. 11"
Vinno Shaad,Gulshan,Restaurant,5,3,1,"Floor 1, House 19, Road 96, Gulshan 2"
Bhai Bhai Biryani House And Restaurant,Gulshan,Restaurant,3.6,45,1,"Shop-3, Ground Floor, Gulshan Shopping Center, Bir Uttam AK Khandakar Road, Gulshan-1  In Gulshan Shopping center"
Kasturi Restaurant,Gulshan,Bangladeshi,4.1,200,1,House #CESF 11/A Road No 130
Aaheli Kabab & Restaurant,Banani,Indian,4.1,397,1,"Ni Tower, Block-E, Road-10, Plot-011213, Enamul Hoq Chowdhury Road"
Beirut 99,Banani,Restaurant,3.9,74,1,13 Rd No. 13E
Calcutta Kitchen,Banani,Indian,4.7,6,1,67c Rd No. 11
Shuruchi Restaurant,Mohakhali,Restaurant,4.5,44,1,Fourth Floor Brac Inn
Pizza Inn Gulshan 1,Gulshan,Restaurant,4.2,813,2,76 Gulshan Ave
Chef's Table,Gulshan,Restaurant,4.7,20,1,3rd Floor
Fish & Co. Bangladesh,Gulshan,Sea-food,4.2,2573,3,22 গুলশান বাড্ডা সংযোগ সড়ক Crystal Palace
Samdado Japanese Cuisine,Gulshan,Japanese,4.2,385,1,"House No, 27 Rd Number 35/A"
Hakka Dhaka,Banani,Cantonese,4.2,1836,1,"Navana Rowshan Sayed Plaza, House # 47, 4th Floor"
Dhaka Metro Restaurant,Banani,Bangladeshi,3.9,100,1,"road 10, house 62 ব্লক#ডি"
ABSOLUTE KOREAN,Gulshan,Restaurant,3.9,16,1,"Chefs Table, Gulshan Centre Point"
"Koreana Restaurant, Dhaka.",Gulshan,Korean,4.3,1812,2,"House No, 22 Rd 123"
Thai Emerald,Gulshan,Thai,4.3,1690,3,"House 24 গুলশান 1, 4/B রোড নং ২"
Oro Dhaka,Gulshan,Restaurant,4.8,12,1,"6/A, Rangs FC 2 corner of Rd 32 and, Gulshan Ave  In Rangs FC Square"
The Sky Room Dining,Banani,Restaurant,4,539,1,"12th Floor, 8 Kemal Ataturk Ave"
Hunger Story,Banani,Restaurant,2,2,1,Enamul Hoq Chowdhury Road
KFC,Banani,Chicken,4,1252,2,"Bulu Ocean Tower, 40 Kemal Ataturk Ave  In Awal Centre"
Gulshan Darbar Restaurant,Gulshan,Restaurant,3.8,11,1,Rd 19
Machan Restaurant মাচান রেষ্টুরেন্ট,Gulshan,Restaurant,4,219,1,"Marium Tower-1, Kha- 66/5, Shajadpur, Gulshan Lake Drive Road, (behind"
BG Sauslys Private Limited,Gulshan,Fast Food,4.3,164,1,"House No, Shariatullah Bhaban, 121/C Gulshan Ave"
Tea Stall Restaurant,Banani,Restaurant,4.3,89,1,"House no: 48, Toad no: 13/C"
Taltibaaz,Banani,Restaurant,4,2,1,71 Rd No. 11
Cafe Elita,Gulshan,Restaurant,3,1,1,"Road 51 House 10B/1, Gulshan-2, 23, Road 51 House 10B/1, Gulshan-2"
La Cantina,Banani,Mexican,3.7,47,1,"HOUSE #50, ROAD #11, FLOOR #12"
Cricket Ground Cafe,Badda,Restaurant,4.1,169,1,"171/3 Middle Badda, হাতির ঝিল লিঙ্ক রোড"
Continental Cock Restaurant,Gulshan,Restaurant,5,1,1,"14-16, Rd 36"
Dum Ladhidh,Banani,Restaurant,4,235,1,"AWR NIB TOWER, House 99, Road 11, Block C, Lift 4"
Montaña Lounge,Gulshan,Restaurant,4.3,39,1,"Level 2, RM Center, 101 Gulshan Ave"
Spice Chicken,Gulshan,Fast Food,5,1,1,"Police Plaza Concord, Food Court, Gulshan-1  In Oppo"
Koyla,Gulshan,Restaurant,4.1,1838,2,411 Bir Uttam Mir Shawkat Sarak
Kacchi Bhai - Taste Of Traditional Kacchi,Bashundhara,Restaurant,4.2,2474,2,Bashundhara Rd
Cinnamon Restaurant,Mohakhali,Restaurant,3.9,418,2,In Mohakhali Community Center
Jackie Chan’s Kitchen,Gulshan,Chinese,3,1,1,House 12/B Rd 55
The Courtyard Bazaar,Gulshan,Restaurant,4.1,488,2,21 Rd 112
The Atrium Restaurant,Baridhara,Asian,4,1736,3,"50 & 52, Pragati Avenue, J Block, Baridhara"
Ritaj Restaurant,Banani,Restaurant,5,1,1,63 Enamul Hoq Chowdhury Road
Sushi Samurai,Banani,Sushi,4.1,810,3,"Level 7, House 100, Road 11, Block C"
Palm View Hotel and Restaurant,Nikunja,Restaurant,4.3,1661,1,In Army Golf Club
"Butlers Chocolate Café, Gulshan",Gulshan,Chocolate shop,4.4,3625,3,175 Gulshan North Ave
Fuljhuri Restaurant,Banani,Indian,5,2,1,41 Rd No. 4
Chinese flavour,Baridhara,Chinese,4,5,1,In CTSB Baridhara Diplomatic zone Office
TRIBE Rooftop Lounge,Banani,Restaurant,4.2,63,1,Bangladesh
Taste of Bengal,Gulshan,Indian,5,2,1,"A, Rd No 6"
Luncheon Food & Restaurant,Gulshan,Restaurant,3.9,189,1,Gulshan
Oro,Gulshan,Bakery,4.4,611,1,"Rangs Arcade, 1st Floor, 153/A Madani Ave  In Rangs Arcade"
Oro,Gulshan,Continental restaurant,4.3,213,1,"Rangs FC Enclave, House 6/A Rd 32"
Fakruddin Restaurant,Banani,Bangladeshi,4,130,1,"H- 90, New Airport Road, Kakoli"
KFC,Gulshan,Chicken,4.1,4314,2,"Plot-02, BLOCK-SW(H), House-50, South Avenue Tower, Road-3 Opposite of OLD KFC, 7 Gulshan Ave"
FoodFnf,Baridhara,Restaurant,5,2,1,1212 Khan Bari Rd
Chelsey's,Banani,Restaurant,4,6,1,30 Kemal Ataturk Ave  In Ahmed Tower
Lakeshore Banani,Banani,Hotel,4.3,1183,1,"Block-D, House # 81 Rd No 13A"
Rozak Rooftop Restaurant,Banani,Restaurant,4,4,1,Banani
Dawat Restaurant,Gulshan,Restaurant,4.5,2,1,Rd 126
Tempt-Asia Restaurant,Banani,Asian,5,3,1,"Chandiwala Mansion, House 32 Rd No. 11"
Gpr,Gulshan,Restaurant,4.5,2,1,25 Rd 35
Chui 55,Gulshan,Asian,5,1,1,11 Rd 130
PEYALA Dcc,Gulshan,Cafe,4.3,1131,2,"Gulshan DCC and Super Market, Shop No G3, N - S Rd"
Doo Mi Ok,Banani,Korean,4.3,67,1,Rd No. 11
Alex Bar Restaurant,Gulshan,Restaurant,5,1,1,Rd 11
Meat Theory,Banani,American,5,1,1,"Tower (3rd Floor), House, Classic, 1 Rd No. 11"
Rosemery Restaurant,Badda,Bangladeshi,3.9,369,1,Madani Ave
Eat Haus,Gulshan,Restaurant,4,6,1,"16, 22 Bir Uttam Aminul Haque Sarak"
Rongdhonu Fast Food & Restaurant,Gulshan,Restaurant,2,1,1,Rd 131
Friday's Fast Food,Gulshan,Fast Food,3.8,32,1,66 Gulshan Ave
Grill On The Skyline,Khilkhet,Restaurant,4.3,48,1,"Regency Hotel & Resort, Tongi Diversion Rd  In Dhaka Regency Hotel & Resort"
Little Arabia Restaurant,Shanti Nagar,Restaurant,4.2,581,2,"140, Al Amin Tower, 141 Shantinagor"
Bhai-Bhai Hotel,Gulshan,Bangladeshi,3.7,3,1,"Ga-1-7, Mazar Road, Shahajadpur, Gulshan"
Ibrahim's,Mirpur,Restaurant,3,3,1,"H-21, R-112"
Hotel De Crystal Crown,Gulshan,Restaurant,3.9,363,1,House # 5 Rd 23/A
Bella Italia- Gulshan,Gulshan,Pizza,2,3,1,"No. 6/A, Rd No - 25"
Grandiose Restaurant,Khilkhet,Restaurant,4.4,251,2,"Dhaka Regency Hotel & Resort (Level 6, Tongi Diversion Rd  In Dhaka Regency Hotel & Resort"
Bitter Sweet Cafe,Gulshan,Cafe,4.1,856,3,"House No. 10, 2nd Floor, Road No. 53, Gulshan 2"
Royal foods &Restaurant,Banani,Restaurant,4.5,4,1,"79/11 Banani, Dhaka - Mymensingh Hwy"
Cafe Bazar,Karwan Bazar,Restaurant,4.2,38,1,107 Kazi Nazrul Islam Ave
The White Canary Café And Marble Slab Creamery,Gulshan,Cafe,4.2,1098,3,12a Rd 86
Shakib's 75 Restaurant,Dhanmondi,Restaurant,4.4,249,1,In RUPAYAN ZR PLAZA
Kiva Han কিভা হান,Gulshan,Cafe,4.2,1629,2,"1st floor House, 1/A Rd 23"
Arabian Nights Restaurant,Mohammadpur,Restaurant,4,1194,2,"22/14 Block C, Tajmahal Rd"
"MOVENPICK Ice Cream & Coffee, Gulshan",Gulshan,Ice Cream,4.5,1139,2,"House No 121/C, Shariatullah Bhaban, Opposite of Pink City Shopping Mall"
Cafe SOI3,Dhanmondi,Restaurant,4.1,1728,2,In Newcastle Law Academy
Khazana Mithai - Gulshan 2 Outlet,Gulshan,Indian sweets shop,4.1,507,2,"Taher Tower, Shop No#122 (Ground Floor  In Taher Tower Shopping Center"
Bismillah hanif biryani,Gulshan,Restaurant,3,1,1,In Gulshan Shopping center
The Old Street,Dhanmondi,Restaurant,3.9,485,2,"5th floor, Opposite to Abahani Field, 754 Satmasjid Road"
Bar B Q Tonite,Dhanmondi,Barbecue,4.3,2695,2,"House No.58, Road No.16 (NEW) , 27(OLD Dhanmondi R/A"
Tarragon Restaurant,Uttara,Buffet,4.1,140,1,"Plot 1B, Rd No 1  In Best Western Plus Maple Leaf"
Anwar sweets & Restaurant,Gulshan,Asian,4,1,1,"55, 30 Rd No 3"
The Westin Dhaka,Gulshan,Hotel,4.5,11913,1,"Main Gulshan Avenue, Plot-01 Rd 45"
Santoor Restaurant,Mirpur,Indian,4.1,1515,2,"House no. 2, Road No 32, Mirpur Rd"
Banglar Thala,Banani,Restaurant,2.8,42,1,Dhaka1212  In Fit Elegance Outlet
Chaatwala,Gulshan,Indian,1,1,1,In Chef's Table
Al-Amar,Dhanmondi,Lebanese,4.2,1358,3,"275/D, Rangs Nasim Square, 4th Floor, 27 Dhanmondi, Road No.16"
Delhi Tacos,Gulshan,Mexican,2.5,2,1,"Shop-537, Police Plaza Concord, Gulshan  In Oppo"
Soul Food Restaurant & Cafe,Badda,Restaurant,4.4,8,1,Satarkul Rd
KFC Bashundhara,Bashundhara,Restaurant,4.2,312,2,"Ka-5/2, Jagannathpur, Adept NR Complex, 1st Floor, Bashundhara Rd"
A & W,Dhanmondi,Fast Food,4,1196,1,"House No# 39/C, 1st Floor, Road No#14/A, Satmasjid Road"
Chef's Table Courtside,Gulshan,Food court,4.5,5298,1,Beraid
Hangout Restaurant,Dhanmondi,Restaurant,3.9,808,2,"R Plaza, H.No 746, level 11, Rupayan Z (Old - 9/a), Satmasjid Road, 1209 Rd No 19  In RUPAYAN ZR PLAZA"
Araaz Restaurant & Banquet,Dhanmondi,Restaurant,3.9,706,2,"LEVEL-5, Rapa Plaza, DHANMONDI-27  In Rapa Plaza"
Amari Dhaka,Gulshan,Hotel,4.5,5833,1,"House no: 88, 47 Rd No 41"
Bird's Eye Roof Top Restaurant and Convention Hall,Naya Paltan,Restaurant,4.2,1727,3,"Baitul View Tower, H.No 56/1 19th floor  In Baitul View Tower"
Rest In Cheese,Baridhara,Restaurant,4.8,5,1,Kuwaiti Mosque Rd
Shobji Restaurant,Gulshan,Restaurant,4,1,1,Bir Uttam Rafiqul Islam Ave
Biye Bari Restaurant,Dhanmondi,Restaurant,3.7,1487,2,"67, GH Heights (7th Floor, Satmasjid Road"
Oasis cafe & Restaurants,Baily Road,Chinese,3.6,76,1,"1, New Baily Road, Natok Sharoni, Abedin Tower (2nd Floor, Shanti Nagar Rd"
Takeout Dhanmondi,Dhanmondi,Fast Food,4.3,4483,2,"Level - 3 No, Rangs KB Square, 736, 9/A Satmasjid Road  In KB Square"
Renaissance Dhaka Gulshan Hotel,Gulshan,Hotel,4.5,719,1,78 Gulshan Ave
Al amar lebanese cuisine,Dhanmondi,Restaurant,4.2,27,1,"Rangs Nasim Square, 46 Rd No. 27"
Fusion Cafe,Gulshan,Cafe,4,121,1,74 Gulshan Ave
Dhaka Lunch,Gulshan,Restaurant,5,8,1,House 10 Rd 135
Nirob Hotel,Old Dhaka,Bangladeshi,4,2137,1,"H.No 114 নাজিমুদ্দিন রোড, Near Old Central Jail"
Memories of Dhaka Restaurant,Shanti Nagar,Restaurant,2,2,1,47 Shiddeshwari Circular Road
Café Social,Ramna,Cafe,4.5,44,1,Minto Rd  In InterContinental Dhaka
Real Thai,Uttara,Restaurant,4.1,510,3,"14-16 Khan Tower (Level 13th & 14th Road, Sonargaon Janapath"
Beauty Lacchi and Faluda,Old Dhaka,Restaurant,4.3,2688,1,30/1 Kazi Alauddin Rd
