Restaurant Name,Area,Restaurant type,Ratings,Number of ratings,price,Address
Mahanagar Kabab And Coffee House,Banasree,Bangladeshi,3.6,80,2,"29/A, Mahanagar Project, Road No. 1, West Rampura"
CP Five Star - Mamduha Chicken,Banasree,Restaurant,3.9,115,1,"House:2, Road: 5, Block :A, Banasree, Rampura, Titas Gas Rd"
SOD Fresh & Delicious,Banasree,Restaurant,3.8,1138,3,"Opposite Rampura bridge, Terminal, 1 Hatir Jheel Link Rd"
"Shawarma House, Banasree Branch",Banasree,Restaurant,3.8,250,2,"Block-B House, 10/B Main Rd"
Food Hut,Banasree,Fast Food,3.9,621,1,"Plot No-29, Road No-7, Block-B, Opposite of"
Taj Hotel,Banasree,Restaurant,3.7,74,1,"396, West Rampura, Makki Masjid Gali"
Maradona Hotel & Restaurant,Banasree,Bangladeshi,3.5,88,1,"101, Ulon Road, West Rampura"
Allahr Daan Biriyani House,Banasree,Restaurant,3.8,117,2,"256, DIT Road, West Rampura"
Burfe,Banasree,Restaurant,4.5,171,1,"House#1, Road#1, Block#E Rampura, Banasree, Dhaka-1219"
The Meat Inn Restaurant,Banasree,Restaurant,4.4,253,2,"House #1, Road #1, Block # B, Banasree"
ANAS CAFE Thai Chinese Restaurent,Banasree,Restaurant,3.8,85,2,374 DIT Rd
Pasta Club Banasree,Banasree,Restaurant,4.3,241,1,2 Rd Number 1
Lake Green Lounge & Restaurant,Banasree,Restaurant,3.9,99,1,"Plot No-39, Block-C Aftab Nagar Main Rd"
The Mughal Empire,Banasree,Restaurant,4.1,727,2,"House 13, Block B, Banasree Main Rd"
Chillox Aftabnagar,Banasree,Restaurant,4,88,1,Aftabnagar Main Road
Alif Food,Banasree,Restaurant,4.1,536,1,"House No. 3, Road No. 5, Block D, Banasree, Rampura"
KFC,Banasree,Fast Food,3.9,1650,2,"শহীদ বাকি রোড HOLDING 979, PLOT 25/B  In Manama M.W"
Orchid Garden Thai & Chinese Restaurant,Banasree,Chinese,3.8,595,2,Road #1 Block F
Taj Mahal Restaurant,Banasree,Restaurant,4.2,86,1,"DIT Road, Malibagh Chowdhury Para Rd"
Cafe Banasree Restora And Kabab Ghor,Banasree,Restaurant,3.8,174,2,"House-1, Road-3, Block-G, Banasree, Rampura"
Al-Aqsa restaurant,Baridhara,Indian,4.3,58,1,374/b Taltola Rd
Dibanishi Restaurant,Baridhara,Restaurant,3.4,147,1,Vhatara Rd
Cafe Lavender,Baridhara,Chinese,4.1,446,2,Bir Uttam Rafiqul Islam Avenue
Hotel Bon Vivant,Baridhara,Restaurant,4,289,1,"House 8/A, Road 13, North Baridhara, Kalachandpur Main Road"
Nascent Gardenia Hotel,Baridhara,Hotel,4.1,547,1,"27, Baridhara Diplomatic Zone, Park Rd"
The Bizarre Cafe,Baridhara,Restaurant,3.7,188,1,"422, Abdus Sobhan Dhali Road, Vatara"
Dhaka foods & Restaurant,Baridhara,Restaurant,3.8,193,2,"Shapla Building, Near, south"
Mint Leaf Restaurant,Baridhara,Restaurant,3.8,539,2,"House-4305, Opposite Apollo Hospital, Kuwaiti Mosque Rd"
Radisson Blu Dhaka Water Garden,Baridhara,Hotel,4.5,9128,1,Airport Rd
The Atrium Restaurant,Baridhara,Asian,4,1736,3,"50 & 52, Pragati Avenue, J Block, Baridhara"
The Buffet King,Bashundhara,Restaurant,3.8,530,2,"Hazi Abdul Latif Mansion, Ka-9/a  In Jamuna Amusement Park"
BURGEROLOGY,Bashundhara,Restaurant,4.3,1659,2,"Burgerology , Ka-7/2, (2nd Floor, Bashundhara Rd"
Magpie Restaurant,Bashundhara,Bangladeshi,4,2692,2,"24, 4 Bashundhara Rd"
Garlic 'n Ginger,Bashundhara,Buffet,4.3,1964,2,"Shop-1C-037, 1st Floor, KA-244, Jamuna Future Park Progoti Shoroni, Kuril - NSU Rd"
Kacchi Bhai - Taste Of Traditional Kacchi,Bashundhara,Restaurant,4.2,2474,2,Bashundhara Rd
Cafe Prince Restora,Bashundhara,Bangladeshi,3.8,629,1,21/B Garden Road
Shuttle Train Restaurant,Bashundhara,Restaurant,4,438,2,"G.P.Ta - 171/3 Middle Badda New link road to Hatirjheel, Lake Rd"
Tongue and Tummy Restaurant,Bashundhara,Restaurant,3.9,158,1,In the Bashundhara City
Bachelor's,Bashundhara,Restaurant,4.3,463,2,"House No, 21 Rd No. 16"
Food Home Restaurant,Bashundhara,Restaurant,3.8,278,1,"Plot#159,Road#03,Block#A.Bashundhara, R/A, Road 03"
Burger King Bashundhara,Bashundhara,Fast Food,4,1387,1,H-335 Bashundhara Rd
Tasty Tibet - Bashundhara RA,Bashundhara,Restaurant,3.9,238,2,"Last End, Bashundhara Residential Area Memberbari Super Market Road-10, Block-C, Ghatper"
Foodplay Cafe & Restaurant,Bashundhara,Restaurant,3.9,134,2,Ga - 2 Bir Uttam Rafiqul Islam Ave
Jafran Resto,Bashundhara,Restaurant,4.1,1616,2,"Lift 5, fifth floor, Adept NR Complex( beside Pitha Ghar) ,Opposite to Jamuna Future Park Pocket Gate Road"
Fridays Fast Food & Restaurant,Bashundhara,Restaurant,4,346,2,"Shop No-15, Block-C, Level-5, Food Court Jamuna Future Park, Bashundhara Rd"
Bhai Bhai Hotel,Bashundhara,Restaurant,4.1,711,2,"ক/১২০, Pragati Avenue, Kuril Chowrasta, Vatara"
Dhaka Foods,Bashundhara,Restaurant,3.8,440,2,"Hazi Abdul Latif Mansion, Ka 9/A, Bashundhara Rd  In Jamuna Amusement Park"
Burger Lab,Bashundhara,Fast Food,4.3,1189,1,"Ka 1/1, Jagannathpur, Bashundhara Road"
American Burger,Bashundhara,Restaurant,3.9,325,2,Sayem Road
Kebab Khazana,Bashundhara,Restaurant,4.1,111,1,"Block- A, Sayem Road, Apollo Link Road, Basundhara, Near By Desco"
Street Oven Bashundhara Outlet,Bashundhara,Restaurant,4.3,117,1,"Ka-4/A, 1st Floor, Bashundhara Rd"
The Hangout,Bashundhara,Restaurant,4,161,1,"Shop#105, 107, Ground Floor, Anannya Shopping Complex  In Anannya Shopping Complex"
Sultan's Dine Bashundhara,Bashundhara,Restaurant,4.3,1309,3,"Ka- 11/2, Below Apex Showroom, Bashundhara Rd"
Steak Hill,Bashundhara,Restaurant,4.1,149,2,"Hazi Abdul Latif Mansion, 2nd Floor"
Sizzle N drizzle,Bashundhara,Restaurant,4.3,50,1,"The Kings food court,Shop#08 Ka-9/A, Hazi Abdul Latif Mansion, Jagannathpur Road, Bashundhara Main Gate, 1229"
Delhi Biryani,Bashundhara,Restaurant,3.8,95,1,"Ka-54, 3 Bashundhara Rd"
Salt and Butter,Bashundhara,Restaurant,4,235,1,"Khana's - Bashundhara R/A, Hazi Abdul Latif Mansion, 9/KA, Manson, R/A, Ka-9 Bashundhara Rd"
Khana's - Bashundhara R/A,Bashundhara,Restaurant,4.2,1172,2,"Hazi Abdul Latif Mansion 9/KA, Manson, R/A, Ka-9 Bashundhara Rd"
Sunflower Restaurant,Bashundhara,Restaurant,3.7,673,1,"Beside Mehedi Mart, Rd 6"
The Food Hall,Bashundhara,Food court,3.7,1250,2,Sabrina Sobhan 4th Avenue Road
Cafe 16,Bashundhara,Restaurant,4.1,55,1,"Ghatpar Bazar, NSU Main Campus Rd"
Rongdhanu Rasui,Bashundhara,Restaurant,3.5,80,1,"Mufti Abdur Rahman Rd, Mehedi Mart, 5th Floor, Plot-474&474/E, Block-D, Bashundhara R/A"
KFC,Bashundhara,Fast Food,4,303,2,"Shop No # 5C-013, 5th Floor, Jamuna Future Park Complex, KA - 244, Kurli, Progoti Sarani - Debogram Road"
Nanu's Food Factory,Bashundhara,Restaurant,4.1,888,2,532 Apollo Hospital Rd  In Evercare Hospital Dhaka
Mughal Mahal Indian Spicy,Bashundhara,Indian,3.6,346,1,"Shop No-5B, 10, 11, 12, 13, 5th Floor, Jamuna Future Park, Kuril - NSU Rd"
Tea Bazaar,Bashundhara,Restaurant,3.9,378,2,"KA 3/1/C, Level 5, Amir Complex, Bashundhara Gate, Jaganathpur, Bashundhara"
Waterpolo BD,Bashundhara,Restaurant,4,905,2,"Apollo, Link Rd"
Ghoroa Hotel,Bashundhara,Restaurant,3.5,245,1,"Ka-54/3, Bashundhara Road & Bashundhara Road"
Bangaliana Bhoj,Bashundhara,Restaurant,4,59,1,"2nd Floor, Ka-9/a, Abdul Latif Mansion (above Burger King Jagannathpur, Main Gate"
Food Village,Bashundhara,Restaurant,3.9,484,1,"Plot: 81, Block: E  In Evercare Hospital Dhaka"
Magpie Thai and Chinese Restaurant,Bashundhara,Restaurant,4,678,2,Bashundhara Rd  In Magpie Restaurant
Meat Lovers,Bashundhara,Restaurant,3.7,152,1,Bashundhara Road
